Nº Prueba;Tiempo medio procesar;Varianza tiempo procesar;Tiempo medio encriptar;Varianza tiempo encriptar;Tiempo envio;Tiempo total;
22;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.25008344650268554687500000000000000000000000000000;1.26574134826660156250000000000000000000000000000000;
23;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030866146087646481772914786034789358382113277912;0.00000466899003843081807649598169440707806643331423;1.24966859817504882812500000000000000000000000000000;1.28053474426269531250000000000000000000000000000000;
24;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015658378601074218533159565502899113198509439826;0.00000242732972210433165722903887939754241642731358;1.24967527389526367187500000000000000000000000000000;1.26533365249633789062500000000000000000000000000000;
25;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00031275510787963866320138262011596452794037759304;0.00000479298248625923347418335829228652755773509853;1.23446273803710937500000000000000000000000000000000;1.26573824882507324218750000000000000000000000000000;
26;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030868530273437500650521303491302660404471680522;0.00000466973408842932154725648141724292372600757517;1.23446393013000488281250000000000000000000000000000;1.26533246040344238281250000000000000000000000000000;
27;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015243291854858398979601086242752217003726400435;0.00000230034367106668557296459548533462680097727571;1.25014448165893554687500000000000000000000000000000;1.29659032821655273437500000000000000000000000000000;
28;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.24974918365478515625000000000000000000000000000000;1.28055405616760253906250000000000000000000000000000;
29;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00031203031539916992187500000000000000000000000000;0.00000477079167282568050723057240247726440429687500;1.21887636184692382812500000000000000000000000000000;1.26570010185241699218750000000000000000000000000000;
30;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030840873718261717448957393017394679191056638956;0.00000466126433175304537580340216718077783752960386;1.24970102310180664062500000000000000000000000000000;1.28054189682006835937500000000000000000000000000000;
31;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00031239748001098631945138262011596452794037759304;0.00000478201821840116235700496316596286305866669863;1.23441886901855468750000000000000000000000000000000;1.26565861701965332031250000000000000000000000000000;
32;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015286207199096679145398913757247782996273599565;0.00000231331449228378102062173189701344000468452577;1.24761581420898437500000000000000000000000000000000;1.26290202140808105468750000000000000000000000000000;
33;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00027963638305664065102085213965210641617886722088;0.00000103889688407434709071803374813569575962901581;1.25560569763183593750000000000000000000000000000000;1.29156184196472167968750000000000000000000000000000;
34;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015656471252441405057377610265945122591801919043;0.00000242673841157738857495971239452980938722248538;1.24968051910400390625000000000000000000000000000000;1.26533699035644531250000000000000000000000000000000;
35;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015646696090698241753819131005798226397018879652;0.00000242370907569125021647007955927222155878553167;1.25003981590270996093750000000000000000000000000000;1.28130245208740234375000000000000000000000000000000;
36;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015288591384887695312500000000000000000000000000;0.00000231403616268721634696703404188156127929687500;1.23446893692016601562500000000000000000000000000000;1.26537013053894042968750000000000000000000000000000;
37;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030868530273437500650521303491302660404471680522;0.00000466969911835803820875914413313090278734307503;1.25010919570922851562500000000000000000000000000000;1.28097772598266601562500000000000000000000000000000;
38;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015218973159790040038281955236953990606707520783;0.00000229300972598025505527524932347649411212842097;1.26529550552368164062500000000000000000000000000000;1.28051447868347167968750000000000000000000000000000;
39;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00031279325485229493271702172485504434007452800870;0.00000479414970456559636738554097679099186279927380;1.23446011543273925781250000000000000000000000000000;1.26573944091796875000000000000000000000000000000000;
40;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030864238739013671007638262011596452794037759304;0.00000466841310574182092609472893851574326617992483;1.23495960235595703125000000000000000000000000000000;1.26582384109497070312500000000000000000000000000000;
41;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00019936084747314451932377610265945122591801919043;0.00000075518408309562764186087264334235058527156070;1.25133013725280761718750000000000000000000000000000;1.27921867370605468750000000000000000000000000000000;
42;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015355110168457030382638262011596452794037759304;0.00000233421614202597885209095572578430477506117313;1.23406863212585449218750000000000000000000000000000;1.26503181457519531250000000000000000000000000000000;
43;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015624284744262696288281955236953990606707520783;0.00000241677091032101831380896235501598567907421966;1.23470258712768554687500000000000000000000000000000;1.26595187187194824218750000000000000000000000000000;
44;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00023941278457641600586718044763046009393292479217;0.00000089801141604652945912357683150295528662354627;1.24631595611572265625000000000000000000000000000000;1.27424979209899902343750000000000000000000000000000;
45;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00031277894973754885197744779468109754816396161914;0.00000479370854906733227665874275125190706603461877;1.23409104347229003906250000000000000000000000000000;1.26536893844604492187500000000000000000000000000000;
46;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015631675720214843424739348254348669797764159739;0.00000241905792963734614484279383805898078207974322;1.23640227317810058593750000000000000000000000000000;1.26760506629943847656250000000000000000000000000000;
47;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.24971270561218261718750000000000000000000000000000;1.26529431343078613281250000000000000000000000000000;
48;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015615224838256837021702172485504434007452800870;0.00000241396894281820151688671034773125967376472545;1.23432135581970214843750000000000000000000000000000;1.26555609703063964843750000000000000000000000000000;
49;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.23449993133544921875000000000000000000000000000000;1.26550745964050292968750000000000000000000000000000;
50;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030864477157592772353297827514495565992547199130;0.00000466840669034240753916932889500124304049677448;1.23404765129089355468750000000000000000000000000000;1.26491212844848632812500000000000000000000000000000;
51;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015661239624023437391579782751449556599254719913;0.00000242821682295471087965877364511779745726016699;1.23448610305786132812500000000000000000000000000000;1.25014734268188476562500000000000000000000000000000;
52;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.24995541572570800781250000000000000000000000000000;1.26517438888549804687500000000000000000000000000000;
53;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030957698822021485242361737988403547205962240696;0.00000469642574378213025577738157223528503436682513;1.23452615737915039062500000000000000000000000000000;1.26548385620117187500000000000000000000000000000000;
54;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015215158462524413086718044763046009393292479217;0.00000229186036569331143294254125863940174667732208;1.23517513275146484375000000000000000000000000000000;1.25039029121398925781250000000000000000000000000000;
55;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00016012191772460938042101086242752217003726400435;0.00000061536852285826166200481159018753629652564996;1.25631260871887207031250000000000000000000000000000;1.28427958488464355468750000000000000000000000000000;
56;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015221118927001952149218044763046009393292479217;0.00000229365636776037593388835947316728436362609500;1.23445749282836914062500000000000000000000000000000;1.24967861175537109375000000000000000000000000000000;
57;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030873775482177735676042606982605320808943361044;0.00000467128426500948894315844855951169733998540323;1.25008153915405273437500000000000000000000000000000;1.28095531463623046875000000000000000000000000000000;
58;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030865430831909177735936089526092018786584958434;0.00000466895627038752316099925326886577181539905723;1.23687744140625000000000000000000000000000000000000;1.26774287223815917968750000000000000000000000000000;
59;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015985012054443360242361737988403547205962240696;0.00000061327713458467780884085084752710415045839909;1.23518013954162597656250000000000000000000000000000;1.26310539245605468750000000000000000000000000000000;
60;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.23450160026550292968750000000000000000000000000000;1.28136229515075683593750000000000000000000000000000;
61;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015243053436279297633941520739853103805216960609;0.00000230027171280653514403745016347890839369938476;1.21884012222290039062500000000000000000000000000000;1.24970889091491699218750000000000000000000000000000;
62;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015246629714965820529340434497100886801490560174;0.00000230135120488626086678995291689986402161594015;1.23450255393981933593750000000000000000000000000000;1.28094816207885742187500000000000000000000000000000;
63;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015242576599121094942622389734054877408198080957;0.00000230012779966273165415334943373348863815408549;1.23467350006103515625000000000000000000000000000000;1.24991607666015625000000000000000000000000000000000;
64;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00024004220962524412761457393017394679191056638956;0.00000090275860622455207807693106786262049467950419;1.22879314422607421875000000000000000000000000000000;1.26074647903442382812500000000000000000000000000000;
65;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00031005382537841797742361737988403547205962240696;0.00000471080720606096260629110095141669489748892374;1.23526620864868164062500000000000000000000000000000;1.26627159118652343750000000000000000000000000000000;
66;0.00007913589477539062879470760369926551902608480304;0.00000030686203067489260012042930590714373551008975;0.00016090869903564452582898913757247782996273599565;0.00000062141248406533108361614933107253122557267488;1.23883199691772460937500000000000000000000000000000;1.27079463005065917968750000000000000000000000000000;
67;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015622615814208984158159565502899113198509439826;0.00000241625463629588960827172632039872013365311432;1.26535630226135253906250000000000000000000000000000;1.29660940170288085937500000000000000000000000000000;
68;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015591859817504883463021303491302660404471680522;0.00000240675031643036151524908325405327502721775090;1.26570844650268554687500000000000000000000000000000;1.29695010185241699218750000000000000000000000000000;
69;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030864000320434569661978696508697339595528319478;0.00000466827893484946803586733976576539362213225104;1.23446559906005859375000000000000000000000000000000;1.26532959938049316406250000000000000000000000000000;
70;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.21878623962402343750000000000000000000000000000000;1.24965238571166992187500000000000000000000000000000;
71;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015613555908203124891579782751449556599254719913;0.00000241345296817598964521562644736096814312986680;1.23449969291687011718750000000000000000000000000000;1.26538228988647460937500000000000000000000000000000;
